Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,Afghanistan,2021-04-01 4:27,33.93911,67.709953,56454,2484,51550,2420,Afghanistan,145.020308,4.400042512
,Albania,2021-04-01 4:27,41.1533,20.1683,125157,2235,91271,31651,Albania,4349.051359,1.785757089
,Algeria,2021-04-01 4:27,28.0339,1.6596,117192,3093,81538,32561,Algeria,267.2501997,2.639258652
,Andorra,2021-04-01 4:27,42.5063,1.5218,12010,115,11315,580,Andorra,15543.90733,0.957535387
,Angola,2021-04-01 4:27,-11.2027,17.8739,22311,537,20493,1281,Angola,67.88419056,2.406884496
,Antigua and Barbuda,2021-04-01 4:27,17.0608,-61.7964,1136,28,820,288,Antigua and Barbuda,1160.035945,2.464788732
,Argentina,2021-04-01 4:27,-38.4161,-63.6167,2348821,55858,2102616,190347,Argentina,5196.992188,2.378129283
,Armenia,2021-04-01 4:27,40.0691,45.0382,192639,3515,173064,16060,Armenia,6500.971574,1.824656482
Australian Capital Territory,Australia,2021-04-01 4:27,-35.4735,149.0124,123,3,120,0,"Australian Capital Territory, Australia",28.73160477,2.43902439
New South Wales,Australia,2021-04-01 4:27,-33.8688,151.2093,5296,54,0,5242,"New South Wales, Australia",65.23774329,1.019637462
Northern Territory,Australia,2021-04-01 4:27,-12.4634,130.8456,108,0,106,2,"Northern Territory, Australia",43.97394137,0
Queensland,Australia,2021-04-01 4:27,-27.4698,153.0251,1477,6,1343,128,"Queensland, Australia",28.87303294,0.406228842
South Australia,Australia,2021-04-01 4:27,-34.9285,138.6007,656,4,640,12,"South Australia, Australia",37.34699687,0.609756098
Tasmania,Australia,2021-04-01 4:27,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899,5.555555556
Victoria,Australia,2021-04-01 4:27,-37.8136,144.9631,20484,820,19664,0,"Victoria, Australia",308.9639361,4.00312439
Western Australia,Australia,2021-04-01 4:27,-31.9505,115.8605,944,9,918,17,"Western Australia, Australia",35.88534935,0.953389831
,Austria,2021-04-01 4:27,47.5162,14.5501,546229,9339,501116,35774,Austria,6064.898295,1.709722479
,Azerbaijan,2021-04-01 4:27,40.1431,47.5769,261713,3567,238125,20021,Azerbaijan,2581.206065,1.362943377
,Bahamas,2021-04-01 4:27,25.025885,-78.035889,9119,188,8597,334,Bahamas,2318.892912,2.061629565
