,country,Confirmed,Deaths,Recovered,Incident_Rate,Case_Fatality_Ratio
0,Afghanistan,56454,2484,51550.0,145.020308,4.400042512
1,Albania,125157,2235,91271.0,4349.051359,1.785757089
2,Algeria,117192,3093,81538.0,267.2501997,2.639258652
3,Andorra,12010,115,11315.0,15543.90733,0.957535387
4,Angola,22311,537,20493.0,67.88419056,2.406884496
5,Antigua and Barbuda,1136,28,820.0,1160.035945,2.464788732
6,Argentina,2348821,55858,2102616.0,5196.992188,2.378129283
7,Armenia,192639,3515,173064.0,6500.971574,1.824656482
8,Australia,29322,909,23012.0,74.08876046,1.8733395711249998
9,Austria,546229,9339,501116.0,6064.898295,1.709722479
10,Azerbaijan,261713,3567,238125.0,2581.206065,1.362943377
11,Bahamas,9119,188,8597.0,2318.892912,2.061629565
12,Bahrain,144445,521,135315.0,8488.860079,0.36069092
13,Bangladesh,611295,9046,542099.0,371.1805757,1.479809257
14,Barbados,3652,42,3465.0,1270.831086,1.150054765
15,Belarus,321807,2247,312320.0,3405.609779,0.6982446
16,Belgium,882453,23016,0.0,7820.594466818182,11.603145791666668
17,Belize,12456,317,12090.0,3132.631325,2.544958253
18,Benin,7100,90,6452.0,58.56540494,1.267605634
19,Bhutan,873,1,869.0,113.1397645,0.114547537
20,Bolivia,272411,12257,221962.0,2333.678774,4.499451197
21,Bosnia and Herzegovina,169626,6599,130492.0,5170.239712,3.890323417
22,Botswana,39848,568,36958.0,1694.487854,1.425416583
23,Brazil,12763392,322138,11181371.0,7438.784784407408,2.3194200393703706
24,Brunei,212,3,194.0,48.45902584,1.41509434
25,Bulgaria,342633,13197,259561.0,4931.074507,3.851643012
26,Burkina Faso,12717,146,12385.0,60.83734809,1.148069513
27,Burma,142434,3206,131800.0,261.7800758,2.250867068
28,Burundi,2810,6,773.0,23.63175304,0.213523132
29,Cabo Verde,17470,168,16277.0,3142.154147,0.96164854
30,Cambodia,2440,11,1191.0,14.59419961,0.450819672
31,Cameroon,47669,721,35261.0,179.5722302,1.512513373
32,Canada,989493,22960,918581.0,1426.6349679038462,1.3988698912666666
33,Central African Republic,5161,67,4957.0,106.8582233,1.298198024
34,Chad,4533,164,4140.0,27.59673025,3.617913082
35,Chile,995538,23135,931270.0,6188.2516354375,1.7964563818235295
36,China,101732,4841,96537.0,10.084665262575758,0.8143950969090908
37,Colombia,2406377,63422,2285515.0,3908.4441948484846,2.8836886618787876
38,Comoros,3696,146,3525.0,425.0254429,3.95021645
39,Congo (Brazzaville),9681,135,8208.0,175.4410764,1.394484041
40,Congo (Kinshasa),28142,743,25444.0,31.42201746,2.640181934
41,Costa Rica,216764,2957,192699.0,4255.185494,1.36415641
42,Cote d'Ivoire,43889,244,40254.0,166.3831316,0.55594796
43,Croatia,271632,5947,254379.0,6616.669119,2.189359133
44,Cuba,75263,424,70614.0,664.4791348,0.563357825
45,Cyprus,46105,257,2057.0,3818.659042,0.557423273
46,Czechia,1532332,26421,1366461.0,14308.8484,1.724234696
47,Denmark,231295,2420,219676.0,1785.9592128133334,0.40009162833333334
48,Diamond Princess,712,13,699.0,,1.825842697
49,Djibouti,8002,70,6460.0,809.9173888,0.874781305
50,Dominica,161,0,153.0,223.639066,0.0
51,Dominican Republic,252727,3325,212156.0,2329.731163,1.315648902
52,Ecuador,328755,16847,281684.0,1863.367239,5.124484799
53,Egypt,202131,11995,154694.0,197.5200852,5.934270349
54,El Salvador,64726,2006,61640.0,997.9030869,3.099218243
55,Equatorial Guinea,6914,102,6495.0,492.8064092,1.475267573
56,Eritrea,3285,10,3029.0,92.62843984,0.304414003
57,Estonia,106424,902,81859.0,8022.68158,0.847553183
58,Eswatini,17337,667,16528.0,1494.357694,3.847263079
59,Ethiopia,206589,2865,158109.0,179.6995141,1.386811495
60,Fiji,67,2,64.0,7.47397495,2.985074627
61,Finland,77452,844,46000.0,1397.869374,1.089707173
62,France,4705186,95798,301467.0,4107.426181400833,0.738280075
63,Gabon,19550,118,16609.0,878.3642925,0.603580563
64,Gambia,5459,165,5070.0,225.8899044,3.022531599
65,Georgia,281761,3778,273167.0,7063.139622,1.340852709
66,Germany,2843644,76589,2539660.0,3338.6590271249997,2.6601661679411763
67,Ghana,90583,743,88065.0,291.5172669,0.820242209
68,Greece,263689,8093,93764.0,2529.862643,3.06914585
